id,"description","category",day_of_week,day_of_month,month,year,amount,"currency_code","mode",account_id,"hashed_user_id",recurrent_bill
1366,"WWW.CAMDEN.GOV.UK CD 3471","alcohol_and_bars",1,5,12,2016,-242,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1367,"FORBIDDEN PLANET CD 3471","food_and_dining",1,5,12,2016,-112.2,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1368,"WorderyEU CD 3471","books_and_supplies",1,5,12,2016,-66.11,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1369,"W & G FOYLE LTD CD 3471","books_and_supplies",1,5,12,2016,-22.98,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1370,"WorderyEU CD 3471","books_and_supplies",1,5,12,2016,-17.08,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1371,"SAINSBURYS S/MKTS CD 3471","groceries",1,5,12,2016,-12.95,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1372,"Amazon UK Marketpl CD 3471","shopping",2,6,12,2016,-26.68,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1373,"Amazon Svcs Europe CD 3471","service_fee",2,6,12,2016,-2.81,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1374,"Amazon UK Marketpl CD 3471","shopping",2,6,12,2016,-2.81,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1375,"CO-OP GROUP FOOD CD 3471","groceries",2,6,12,2016,-2.69,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1376,"JAPAN CENTRE ONLIN CD 3471","shopping",3,7,12,2016,-11.44,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1377,"TESCO STORES 2789 CD 3471","groceries",3,7,12,2016,-6,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1378,"TESCO STORES 2249 CD 3471","groceries",3,7,12,2016,-4.3,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1379,"TESCO STORES 2249 CD 3471","groceries",3,7,12,2016,-3.7,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1380,"TFL.GOV.UK/CP CD 3471","public_transportation",4,8,12,2016,-5.6,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1381,"TESCO STORES 2249 CD 3471","groceries",4,8,12,2016,-5.99,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1382,"TESCO STORES 2249 CD 3471","groceries",4,8,12,2016,-2.1,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1383,"LNK TESCO ST KAT D CD 3471 09DEC16","groceries",5,9,12,2016,-20,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1384,"F/FLOW GERALD V RA","transfer",5,9,12,2016,459.84,"GBP","transfer",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1385,"AMAZON UK RETAIL A CD 3471","shopping",1,12,12,2016,-37.37,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1386,"BUXTON C R RENT 3062498064321109SO","transfer",1,12,12,2016,562,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1387,"SAVINGS","transfer",1,12,12,2016,-15,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1388,"TESCO STORES 2249 CD 3471","groceries",1,12,12,2016,-2.1,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1389,"Amazon UK Marketpl CD 3471","shopping",2,13,12,2016,-1.92,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1390,"SAINSBURY'S S/MKTS CD 3471","groceries",2,13,12,2016,-2.33,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1391,"AMAZON MKTPLACE PM CD 3471","shopping",4,15,12,2016,-13.87,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1392,"BATTERSEA DOGS AND Z0970829/1/23","cafes_and_restaurants",4,15,12,2016,-10,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",1
1393,"CATS PROTECTION DON1636681","cafes_and_restaurants",4,15,12,2016,-10,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",1
1394,"TESCO STORES 2249 CD 3471","groceries",4,15,12,2016,-5.99,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1395,"TESCO STORES 2249 CD 3471","groceries",4,15,12,2016,-2.4,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1396,"TFL.GOV.UK/CP CD 3471","public_transportation",5,16,12,2016,-2.4,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1397,"TESCO STORES 2249 CD 3471","groceries",5,16,12,2016,-2.4,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1398,"MCLTDCLIENTACCOUNT","transfer",5,16,12,2016,-1083.3,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1399,"W & G FOYLE LTD CD 3471","books_and_supplies",1,19,12,2016,-28.96,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1400,"TFL.GOV.UK/CP CD 3471","public_transportation",1,19,12,2016,-2.4,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1401,"VIRGIN MEDIA PYMTS 048860102001","transfer",1,19,12,2016,-32.39,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",1
1402,"SAVINGS","transfer",1,19,12,2016,-15,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1403,"LNK 400202SHAFTSB CD 3471 18DEC16","transfer",1,19,12,2016,-20,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1404,"TFL.GOV.UK/CP CD 3471","public_transportation",1,19,12,2016,-5.6,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1405,"TESCO STORES 2789 CD 3471","groceries",1,19,12,2016,-3.3,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1406,"TESCO STORES 2249 CD 3471","groceries",1,19,12,2016,-2.4,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1407,"TESCO STORES 2249 CD 3471","groceries",2,20,12,2016,-5.99,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1408,"ALGERIAN COFFE STO CD 3471","food_and_dining",2,20,12,2016,-19.9,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1409,"TESCO STORES 2249 CD 3471","groceries",2,20,12,2016,-5.56,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1410,"TESCO STORES 2249 CD 3471","groceries",2,20,12,2016,-2.65,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1411,"E.ON 013133956300A","cafes_and_restaurants",2,20,12,2016,-35,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",1
1412,"CO-OP GROUP FOOD CD 3471","groceries",3,21,12,2016,-5.33,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1413,"TESCO STORES 2249 CD 3471","groceries",3,21,12,2016,-3,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1414,"TFL.GOV.UK/CP CD 3471","public_transportation",4,22,12,2016,-2.4,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1415,"F/FLOW GERALD V RA","transfer",4,22,12,2016,200,"GBP","transfer",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1416,"TESCO STORES 2249 CD 3471","groceries",4,22,12,2016,-2.4,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1417,"TFL.GOV.UK/CP CD 3471","public_transportation",5,23,12,2016,-2.4,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1418,"SAINSBURYS S/MKTS CD 3471","groceries",5,23,12,2016,1,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1419,"TESCO STORES 2789 CD 3471","groceries",5,23,12,2016,-11.32,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1420,"TESCO STORES 2249 CD 3471","groceries",5,23,12,2016,-3.7,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1421,"TESCO STORES 2249 CD 3471","groceries",5,23,12,2016,-3,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1422,"WWW.PETPLANET.CO.U CD 3471","pets",3,28,12,2016,-39.96,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1423,"MIP*VODAFONE TOPUP CD 3471","phone",3,28,12,2016,-5,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",1
1424,"Amazon UK Marketpl CD 3471","shopping",3,28,12,2016,-12.62,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1425,"SAINSBURYS S/MKTS CD 3471","groceries",3,28,12,2016,-27.7,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1426,"STEAMGAMES.COM CD 3471","games",3,28,12,2016,-10.99,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1427,"STEAMGAMES.COM CD 3471","games",3,28,12,2016,-3.24,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1428,"SAVINGS","transfer",3,28,12,2016,-15,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1429,"MOBILLITY LT DEC16 MOBILLITY 975684431301622101 26DEC16","shopping",3,28,12,2016,851.24,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1430,"SAINSBURYS S/MKTS CD 3471","groceries",3,28,12,2016,-50.1,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1431,"CO-OP GROUP FOOD CD 3471","groceries",4,29,12,2016,-7.8,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1432,"TFL.GOV.UK/CP CD 3471","public_transportation",5,30,12,2016,-3.1,"GBP","normal",358731,"9BitPJrGzBCq57fj8Jyrxw==",0
1433,"M RAYMOND","uncategorized",1,5,12,2016,15,"GBP","normal",358732,"9BitPJrGzBCq57fj8Jyrxw==",0
1434,"M RAYMOND","uncategorized",1,12,12,2016,15,"GBP","normal",358732,"9BitPJrGzBCq57fj8Jyrxw==",0
1435,"INTEREST (GROSS)","loans",4,15,12,2016,0.01,"GBP","normal",358732,"9BitPJrGzBCq57fj8Jyrxw==",0
1436,"M RAYMOND","uncategorized",1,19,12,2016,15,"GBP","normal",358732,"9BitPJrGzBCq57fj8Jyrxw==",0
1437,"M RAYMOND","uncategorized",3,28,12,2016,15,"GBP","normal",358732,"9BitPJrGzBCq57fj8Jyrxw==",0
1438,"INTEREST (GROSS)","loans",5,16,12,2016,17.54,"GBP","normal",358733,"9BitPJrGzBCq57fj8Jyrxw==",0
1439,"HUGO DARCYINTERNETBP","shopping",4,1,12,2016,-6.7,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1440,"CHARLIE SMITHRENTBP","transfer",4,1,12,2016,-612,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1441,"KCL KINGS FOODLONDON)))","alcohol_and_bars",4,1,12,2016,-3.35,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1442,"TFL.GOV.UK/CPTFL TRAVEL CH)))","public_transportation",4,1,12,2016,-8.5,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1443,"TESCO STORES 4389LONDON)))","groceries",4,1,12,2016,-3.49,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1444,"TESCO STORES 6490TOTTENHAM)))","groceries",4,1,12,2016,-3,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1445,"TESCO STORES 6490TOTTENHAM)))","groceries",4,1,12,2016,-3,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1446,"SAINSBURYS S/MKTSGUYS HOSPITAL)))","groceries",4,1,12,2016,-1.35,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1447,"LH TRADINGBATHVIS","clothing",4,1,12,2016,-17.94,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1448,"FITNESS4LESSDD","health_and_fitness",4,1,12,2016,-19.99,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",1
1449,"IZ *WHERE THE PANCLONDON)))","cafes_and_restaurants",5,2,12,2016,-15.1,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1450,"TFL.GOV.UK/CPTFL TRAVEL CH)))","public_transportation",5,2,12,2016,-2.4,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1451,"TESCO STORES 5130EASTCHEAP)))","groceries",5,2,12,2016,-1.91,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1452,"WASABI BOROUGH HIGLONDON)))","cafes_and_restaurants",5,2,12,2016,-6.8,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1453,"PRET A MANGERPRET A MANGER)))","cafes_and_restaurants",1,5,12,2016,-2.25,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1454,"M&S SIMPLY FOOD -LONDON BRIDGE)))","groceries",1,5,12,2016,-1.6,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1455,"BOOTS,0839LONDON)))","pharmacy",1,5,12,2016,-9.74,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1456,"CHILANGO'SLONDON)))","food_and_dining",1,5,12,2016,-6.2,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1457,"POMMELER'S RESTTower Bridge,)))","alcohol_and_bars",1,5,12,2016,-8.84,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1458,"TFL.GOV.UK/CPTFL TRAVEL CH)))","public_transportation",1,5,12,2016,-2.8,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1459,"STARBUCKSLONDON)))","cafes_and_restaurants",1,5,12,2016,-5.4,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1460,"SAINSBURYS S/MKTSGUYS HOSPITAL)))","groceries",1,5,12,2016,-2.7,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1461,"TFL.GOV.UK/CPTFL TRAVEL CH)))","public_transportation",1,5,12,2016,-7.6,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1462,"SAINSBURYS S/MKTSBOROUGH HIGH)))","groceries",1,5,12,2016,-1.4,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1463,"PRET A MANGER129A WILTON R)))","cafes_and_restaurants",1,5,12,2016,-5.49,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1464,"SAINSBURYS S/MKTSGUYS HOSPITAL)))","groceries",1,5,12,2016,-2.65,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1465,"TESCO STORES 6601WHITECHAPEL)))","groceries",1,5,12,2016,-1,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1466,"KCL LIBRARY ONLINELONDONVIS","books_and_supplies",1,5,12,2016,-2,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1467,"LUL TICKET MACHINEALGATE EAST BVIS","public_transportation",1,5,12,2016,-5,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1468,"KCL KINGS FOODLONDON)))","alcohol_and_bars",2,6,12,2016,-1,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1469,"KCL KINGS FOODLONDON)))","alcohol_and_bars",2,6,12,2016,-5.15,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1470,"TFL.GOV.UK/CPTFL TRAVEL CH)))","public_transportation",2,6,12,2016,-4.8,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1471,"M&S SIMPLY FOOD -WATERLOO STAT)))","groceries",2,6,12,2016,-1.45,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1472,"TESCO STORES 6601WHITECHAPEL)))","groceries",2,6,12,2016,-0.43,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1473,"TESCO STORES 6601WHITECHAPEL)))","groceries",2,6,12,2016,-6.16,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1474,"KCL KINGS FOODLONDONVIS","uncategorized",2,6,12,2016,-1.9,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1475,"THE MILLERLONDON SE1)))","groceries",3,7,12,2016,-4.5,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1476,"KCL KINGS FOODLONDON)))","alcohol_and_bars",3,7,12,2016,-3.6,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1477,"KCL KINGS FOODLONDON)))","alcohol_and_bars",3,7,12,2016,-1.5,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1478,"KCL KINGS FOODLONDON)))","alcohol_and_bars",3,7,12,2016,-1.9,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1479,"TFL.GOV.UK/CPTFL TRAVEL CH)))","public_transportation",3,7,12,2016,-2.4,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1480,"SUBWAY BOROUGHLONDON)))","food_and_dining",3,7,12,2016,-8.08,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1481,"Spotify P013C5571CLondonVIS","movies_and_music",3,7,12,2016,-4.99,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",1
1482,"MCDONALDSELTHAM)))","cafes_and_restaurants",4,8,12,2016,-1.19,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1483,"KCL KINGS FOODLONDON)))","alcohol_and_bars",4,8,12,2016,-1.9,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1484,"TFL.GOV.UK/CPTFL TRAVEL CH)))","public_transportation",4,8,12,2016,-2.4,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1485,"ITSU 042 BANKSIDELONDON SE1)))","public_transportation",4,8,12,2016,-4,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1486,"WASABI BOROUGH HIGLONDON)))","cafes_and_restaurants",4,8,12,2016,-6.75,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1487,"SAINSBURYS S/MKTSGUYS HOSPITAL)))","groceries",4,8,12,2016,-1.25,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1488,"THE MILLERLONDON SE1)))","groceries",4,8,12,2016,-5.35,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1489,"LUL TICKET OFFICE.LONDON BRIDGEVIS","entertainment",4,8,12,2016,-10,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1490,"KCL KINGS FOODLONDON)))","alcohol_and_bars",5,9,12,2016,-1.9,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1491,"TFL.GOV.UK/CPTFL TRAVEL CH)))","public_transportation",5,9,12,2016,-6.5,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1492,"FIVE GUYS CHARINGLONDON)))","electronics_and_software",5,9,12,2016,-7.9,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1493,"KCLSU GUY'S BARLONDON)))","uncategorized",5,9,12,2016,-3.8,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1494,"TESCO STORES 6601WHITECHAPEL)))","groceries",5,9,12,2016,-1,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1495,"TESCO STORES 6490TOTTENHAM)))","groceries",1,12,12,2016,-4.39,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1496,"ITSU 026 MORE LONDLONDON SE1)))","cafes_and_restaurants",1,12,12,2016,-4.79,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1497,"SAINSBURYS S/MKTSGUYS HOSPITAL)))","groceries",1,12,12,2016,-1,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1498,"TFL.GOV.UK/CPTFL TRAVEL CH)))","public_transportation",1,12,12,2016,-5.2,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1499,"TESCO STORES 4389LONDON)))","groceries",1,12,12,2016,-1.75,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1500,"BURGER KING TOTTENLONDON)))","alcohol_and_bars",1,12,12,2016,-4.68,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1501,"TFL.GOV.UK/CPTFL TRAVEL CH)))","public_transportation",1,12,12,2016,-5.6,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1502,"TESCO STORES 6490TOTTENHAM)))","groceries",1,12,12,2016,-4.44,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1503,"STARBUCKSLONDON)))","cafes_and_restaurants",1,12,12,2016,-4.24,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1504,"AMT COFFEEGUYS HOSPITAL)))","doctor",1,12,12,2016,-2.16,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1505,"DELICE DE FRANCE BLONDON)))","groceries",1,12,12,2016,-3.49,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1506,"WRAP IT UPLONDON)))","food_and_dining",1,12,12,2016,-4.95,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1507,"KCL KINGS FOODLONDON)))","alcohol_and_bars",1,12,12,2016,-3.45,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1508,"TFL.GOV.UK/CPTFL TRAVEL CH)))","public_transportation",1,12,12,2016,-4.9,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1509,"CARAVAN BANKSIDELONDON SE1)))","cafes_and_restaurants",1,12,12,2016,-16.06,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1510,"TESCO STORES 6601WHITECHAPEL)))","groceries",1,12,12,2016,-4.73,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1511,"BURGER KINGLONDON)))","alcohol_and_bars",1,12,12,2016,-3.49,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1512,"TESCO STORES 6490TOTTENHAMVIS","groceries",1,12,12,2016,-7.5,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1513,"TESCO-STORES 6485LONDON METRO)))","groceries",2,13,12,2016,-4.81,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1514,"PADELLA LIMITEDLONDONVIS","uncategorized",2,13,12,2016,-11,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1515,"TFL.GOV.UK/CPTFL TRAVEL CH)))","public_transportation",2,13,12,2016,-2.4,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1516,"WASABI BOROUGH HIGLONDON)))","cafes_and_restaurants",2,13,12,2016,-6.75,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1517,"AMT COFFEEGUYS HOSPITAL)))","doctor",2,13,12,2016,-2.07,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1518,"KCL KINGS FOODLONDON)))","alcohol_and_bars",3,14,12,2016,-1.1,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1519,"TFL.GOV.UK/CPTFL TRAVEL CH)))","public_transportation",3,14,12,2016,-4.8,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1520,"TESCO STORES 4389LONDON)))","groceries",3,14,12,2016,-1.05,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1521,"TESCO STORES 6601WHITECHAPEL)))","groceries",3,14,12,2016,-5.15,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1522,"PIZZA EXPRESSFESTIVAL HALLVIS","food_and_dining",3,14,12,2016,-14.5,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1523,"KCL KINGS FOODLONDON)))","alcohol_and_bars",4,15,12,2016,-1.9,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1524,"WASABI BOROUGH HIGLONDON)))","cafes_and_restaurants",4,15,12,2016,-7.65,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1525,"SAINSBURYS S/MKTSGUYS HOSPITAL)))","groceries",4,15,12,2016,-0.45,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1526,"LUL TICKET MACHINEALDGATE EASTVIS","public_transportation",4,15,12,2016,-5,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1527,"CASH RAPHAEL DEC15Embankment U@16:40ATM","public_transportation",4,15,12,2016,-20,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1528,"TFL.GOV.UK/CPTFL TRAVEL CH)))","public_transportation",5,16,12,2016,-6.5,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1529,"THE BLACK PENNYUK)))","alcohol_and_bars",5,16,12,2016,-17,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1530,"TESCO STORES 6601WHITECHAPEL)))","groceries",5,16,12,2016,-5.52,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1531,"KCL LIBRARY ONLINELONDONVIS","books_and_supplies",5,16,12,2016,-2,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1532,"KCL LIBRARY ONLINELONDONVIS","books_and_supplies",5,16,12,2016,-2,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1533,"TESCO STORES 6390SOUTHWARK)))","groceries",1,19,12,2016,-0.66,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1534,"TFL.GOV.UK/CPTFL TRAVEL CH)))","public_transportation",1,19,12,2016,-3.9,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1535,"SUPERDRUG STORES PLONDON)))","pharmacy",1,19,12,2016,-1.29,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1536,"TESCO STORES 5956LONDON)))","groceries",1,19,12,2016,-5,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1537,"TESCO STORES 6601WHITECHAPEL)))","groceries",1,19,12,2016,-5.52,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
1538,"TFL.GOV.UK/CPTFL TRAVEL CH)))","public_transportation",1,19,12,2016,-2.5,"GBP","normal",359339,"OEAKHA8xTyKZsBOdM6XIZw==",0
